Id;Species;Accession Name;Origine Continent;Type (Wild/Cultivated);Sowing_Localisation;Replicate_nb (1/2);Plant_nb (1 to 3);Panicle_nb (1 to 3);Rachis_length (RL in cm);Primary Branch Number (PBN);Average of Primary Branch length in cm (PBL);Average of Internode along Primary Branch in cm (PBIL);Secondary Branch Number (SBN);Average of Secondary Branch length in cm (SBL);Average of Internode along secondary Branch in cm  (SBIL);Tertiary Branch Number (TBN);Spikelet Number (SpN)
Ob10;Ob;B5;Africa;Wild;Cali-Colombia;2;3;1;7.36;4;9.06;2.45;6;2.32;1.08;0;39
Ob10;Ob;B5;Africa;Wild;Cali-Colombia;2;3;2;8.71;5;7.43;2.18;7;2.83;0.58;0;44
Ob10;Ob;B5;Africa;Wild;Cali-Colombia;2;3;3;7.9;4;8.67;2.63;7;2.3;0.69;0;41
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;1;1;1;10.24;5;7.5;2.56;2;1.44;1.42;0;34
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;1;1;2;6.14;3;9.31;3.07;3;2;1.85;0;27
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;1;1;3;6.93;4;9.59;2.31;6;1.82;0.96;0;41
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;1;2;1;9.43;5;7.67;2.36;2;1.78;1.41;0;35
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;1;2;2;5.8;4;9.41;1.93;5;2.31;1.19;0;39
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;1;2;3;7.6;5;9.14;1.9;6;2.12;0.96;0;49
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;1;3;1;8.6;5;9.85;2.15;5;1.9;0.88;0;44
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;1;3;2;9.27;5;9.24;2.32;4;2.18;0.88;0;45
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;1;3;3;8.29;5;9.05;2.07;7;1.96;0.86;0;50
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;2;1;1;10.28;5;8.03;2.57;6;1.66;0.51;0;47
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;2;1;2;7.9;5;7.42;1.98;3;1.87;1.4;0;37
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;2;1;3;6.05;3;8.58;3.03;3;1.92;1.66;0;24
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;2;2;1;11.29;6;8.13;2.26;5;1.9;0.68;0;55
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;2;2;2;4.71;4;10.43;1.57;8;2.18;0.64;0;54
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;2;2;3;8.71;5;8.92;2.18;8;1.97;0.52;0;55
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;2;3;1;10.37;6;7.71;2.08;5;2;0.91;0;51
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;2;3;2;6.91;5;9.97;1.73;10;2.19;0.48;0;67
Ob11;Ob;B51;Africa;Wild;Cali-Colombia;2;3;3;8.45;5;8.08;2.11;3;2.11;0.84;0;41
Ob12;Ob;B63;Africa;Wild;Cali-Colombia;1;1;1;8.34;4;8.32;2.78;4;2.05;1.18;0;33
Ob12;Ob;B63;Africa;Wild;Cali-Colombia;1;1;2;4.26;3;10.69;2.13;4;2.83;1.28;0;30
Ob12;Ob;B63;Africa;Wild;Cali-Colombia;1;1;3;5.6;3;5.06;2.8;0;0;0;0;11
Ob12;Ob;B63;Africa;Wild;Cali-Colombia;1;2;1;4.51;3;9.37;2.26;3;2.8;1.58;0;27
Ob12;Ob;B63;Africa;Wild;Cali-Colombia;1;2;2;6.46;4;8.4;2.15;3;2.72;1.08;0;34
Ob12;Ob;B63;Africa;Wild;Cali-Colombia;1;2;3;6.49;4;7.82;2.16;3;1.93;1.43;0;29
Ob12;Ob;B63;Africa;Wild;Cali-Colombia;1;3;1;10.33;5;8.08;2.58;5;2.34;1.07;0;37
Ob12;Ob;B63;Africa;Wild;Cali-Colombia;1;3;2;8.93;5;7.14;2.23;2;2.55;1.16;0;34
Ob12;Ob;B63;Africa;Wild;Cali-Colombia;1;3;3;8.03;4;8.12;2.68;3;2.28;1.24;0;32
Ob12;Ob;B63;Africa;Wild;Cali-Colombia;2;1;1;9.44;5;7.95;2.36;3;2.19;1.55;0;41
Ob12;Ob;B63;Africa;Wild;Cali-Colombia;2;1;2;7.19;4;8.57;2.4;3;2.14;1.6;0;33
Ob12;Ob;B63;Africa;Wild;Cali-Colombia;2;1;3;7.63;4;8.25;2.55;3;2.43;1.49;0;29
Ob13;Ob;B73;Africa;Wild;Cali-Colombia;1;1;1;5;3;8.35;2.5;3;1.68;1.6;0;25
Ob13;Ob;B73;Africa;Wild;Cali-Colombia;1;1;2;5.94;4;7.48;1.98;3;1.87;1.31;0;34
Ob13;Ob;B73;Africa;Wild;Cali-Colombia;1;1;3;6.54;4;7.37;2.18;4;1.42;1.6;0;30
Ob13;Ob;B73;Africa;Wild;Cali-Colombia;1;2;1;6.34;4;5.07;2.11;0;0;0;0;21
Ob13;Ob;B73;Africa;Wild;Cali-Colombia;1;2;2;4.36;3;7.95;2.18;2;3;1.27;0;21
Ob13;Ob;B73;Africa;Wild;Cali-Colombia;1;3;1;4.68;3;4.67;2.34;0;0;0;0;11
Ob13;Ob;B73;Africa;Wild;Cali-Colombia;1;3;2;5.85;4;7.32;1.95;3;1.81;1.08;0;31
